FFTY
GCT
DKNG
DECK
NOW
ELF
NVDA
RCL
ASND
CRWD
QLYS
S
GTLB
TEAM
DDOG
MNDY
CRM
META
ANET
ZS
WDAY
PRCT
SMCI
FTAI
NFLX
STNE
RYAAY
BRZE
NET
MELI
PDD
URI
TBBK
MMYT
DASH
SNOW
XP
MDB
DT
SNPS
APLS
KKR
ITCI
GOOG
GOOGL
IMCR
NTRA
FRPT
TT
TDW
MSFT
