Symbol
MA
UNH
META
AAPL
MSFT
ADBE
NFLX
NVDA
AXP
WFC
ULTA
QQQ
SPY
AMD
LMT
JD
PYPL
V
CLF
SQQQ
STM
ALGM
DKNG
PERI
WING
LSCC
RELY
SMCI
CPRX
MELI
IOT
DUOL
MBLY
ANET
MPWR
PHM
MTH
TPH
ONON
RMBS
FOUR
CLH
FND
LNTH
AXON
CDNS
GWW
CRM
AGL
AVGO
LRCX
FLYW
GPK
SMAR
LULU
PWR
TSM
ADI
DV
HUBS
WDAY
CPRT
TTD
BJ
VRTX
ITCI
FND
WING
XPOF
^DJI
DIA
^IXIC
TIP
TLT
DX=F
YM=F
ES=F
NQ=F
^VIX
TVIX
UVXY
CL=F
BTC-USD
ETH-USD
AUDJPY=X
XLE
XLF
XLU
XLI
GDX
XLK
XLV
XLP
XLB
XOP
IYR
XHB
ITB
VNQ
GDXJ
IYE
OIH
XME
XRT
SMH
IBB
KBE
KRE
XTL
