Symbol
MA
UNH
META
AAPL
MSFT
ADBE
NFLX
NVDA
AXP
WFC
ULTA
QQQ
SPY
AMD
LMT
JD
PYPL
V
CLF
SQQQ
STM
ALGM
DKNG
PERI
WING
LSCC
RELY
SMCI
CPRX
MELI
IOT
DUOL
MBLY
ANET
MPWR
PHM
MTH
TPH
ONON
RMBS
FOUR
CLH
FND
LNTH
AXON
CDNS
GWW
CRM
AGL
AVGO
LRCX
FLYW
GPK
SMAR
LULU
PWR
TSM
ADI
DV
HUBS
WDAY
CPRT
TTD
BJ
VRTX
TTD
ITCI
FND
WING
